nama,klaster,nearest_node,dist_to_node_m,lon,lat
Pertamina,A_SPBU,29358830,26.29594331,107.6020333,-6.8876837
Pertamina,A_SPBU,11369618809,36.53964527,107.5858523,-6.9070048
Pertamina,A_SPBU,2493836067,33.14940423,107.6343231,-6.8997316
Pertamina,A_SPBU,29358935,34.53203893,107.5987095,-6.8806043
Pertamina,A_SPBU,5348142890,22.16970058,107.5840572,-6.9185944
Pertamina,A_SPBU,3277378563,29.77713378,107.6184175,-6.9165401
Pertamina,A_SPBU,5460962109,39.64680928,107.6814323,-6.9669124
Pertamina,A_SPBU,3807746818,28.22197593,107.6208132,-6.8689864
Pertamina,A_SPBU,5458737558,37.98496531,107.5816606,-6.8890673
Pertamina,A_SPBU,3272299574,30.22453444,107.625816,-6.9492397
Pertamina,A_SPBU,1982778316,14.57380285,107.6117403,-6.9548757
Pertamina,A_SPBU,3357368464,34.24484816,107.6256199,-6.8910576
Pertamina,A_SPBU,4620173045,51.43543054,107.6734695,-6.9045444
Pertamina,A_SPBU,7284309270,73.55080206,107.7120823,-6.9289714
Pertamina,A_SPBU,2520649152,57.2238619,107.6185972,-6.9057833
Pertamina,A_SPBU,5395278919,31.46907469,107.6440384,-6.9223889
Pertamina,A_SPBU,7205262601,35.3224519,107.6517728,-6.9136217
Pertamina,A_SPBU,3278023502,29.38438747,107.644464,-6.9183776
Pertamina,A_SPBU,5394983543,49.33365614,107.6589018,-6.9136483
Pertamina,A_SPBU,2477666621,84.85796343,107.5746074,-6.9129281
Pertamina,A_SPBU,2477162528,34.18399501,107.6419203,-6.8992841
Pertamina,A_SPBU,6485352111,67.48605629,107.5748775,-6.9266538
Pertamina,A_SPBU,9336898538,29.74228735,107.6951878,-6.9138016
Pertamina,A_SPBU,6411468691,25.79867574,107.6379847,-6.9522858
Pertamina,A_SPBU,5865112018,26.97251702,107.6650947,-6.9041715
Pertamina,A_SPBU,5348638966,164.2643559,107.5820851,-6.9413633
Pertamina,A_SPBU,1849960732,48.3425939,107.6370205,-6.9121984
Pertamina,A_SPBU,5648631891,37.44838035,107.5708193,-6.9141507
Pertamina,A_SPBU,3115483150,63.19048355,107.579498,-6.9294651
Pertamina,A_SPBU,7712789381,108.6083437,107.6306979,-6.9224243
Pertamina,A_SPBU,10866516960,76.207209,107.5859941,-6.8936046
Pertamina,A_SPBU,13860271950,43.1127698,107.5776794,-6.9295816
Pertamina,A_SPBU,7284403247,59.78226535,107.7006288,-6.9362243
Pertamina,A_SPBU,11037191227,81.5522206,107.6037713,-6.888660148
Pertamina,A_SPBU,6443221336,22.8987622,107.6103198,-6.936348496
Pertamina,A_SPBU,3847863679,47.27648168,107.5629203,-6.891755093
Pertamina,A_SPBU,5465992888,34.39296218,107.6165886,-6.890806121
Pertamina,A_SPBU,3272722525,86.44303539,107.6939414,-6.937482128
Pertamina,A_SPBU,2325453481,63.385149,107.6625098,-6.9396348
SPBU Pertamina,A_SPBU,11800741164,42.38144528,107.5970165,-6.898091154
Pertamina,A_SPBU,11107827260,38.82726967,107.6119467,-6.919876055
Pertamina,A_SPBU,3110236069,29.61093726,107.6168083,-6.938256755
Pertamina,A_SPBU,5360254236,44.29640642,107.6178229,-6.937694648
Pertamina,A_SPBU,3472154933,26.2548712,107.6387437,-6.960592204
Pertamina,A_SPBU,9763831989,30.97934984,107.5892089,-6.89509955
Pertamina,A_SPBU,6637726062,36.98529197,107.6271612,-6.89914435
Pertamina,A_SPBU,5397823036,28.47228838,107.6423171,-6.94293915
Pertamina,A_SPBU,8424210299,100.0054463,107.6419023,-6.94091185
Pertamina,A_SPBU,6639639833,67.9627594,107.6128779,-6.890118385
Pertamina,A_SPBU,8418013648,42.27906637,107.6278712,-6.923452329
Pertamina,A_SPBU,2858054060,93.41565536,107.7105225,-6.926051538
Pertamina,A_SPBU,8123304882,91.48050568,107.6353308,-6.947872685
Pertamina,A_SPBU,11520711531,20.41153343,107.6070315,-6.904366664
Pertamina,A_SPBU,11041650667,16.39781087,107.6316811,-6.925706782
Pertamina,A_SPBU,10154700107,36.64923063,107.6339003,-6.913408788
Pertamina,A_SPBU,3272725789,58.30897357,107.6915056,-6.936788203
Pertamina,A_SPBU,5353648470,28.90474879,107.677419,-6.94029505
Pertamina,A_SPBU,11106971273,84.41551251,107.7143131,-6.935944937
Pertamina,A_SPBU,29358836,91.47769585,107.5969699,-6.875360384
SPBU Pertamina,A_SPBU,5355891555,32.28869247,107.6037513,-6.930293622
Pertamina,A_SPBU,3380407826,61.61336665,107.6965992,-6.923894917
Pertamina,A_SPBU,5460792486,48.04286363,107.655379,-6.956250934
Pertamina,A_SPBU,5406429315,126.6219087,107.650271,-6.943129162
Pertamina,A_SPBU,1658426557,29.55736276,107.5813635,-6.882700275
Pertamina,A_SPBU,9771195730,43.37806871,107.6411686,-6.918324432
Setrasari Mall,B_Mall,29356954,116.5999108,107.5829931,-6.8807039
Braga Citywalk,B_Mall,5358212387,25.62047481,107.6084817,-6.9170486
Ujungberung Town Square,B_Mall,9336898538,218.8808965,107.6964906,-6.9151788
Summarecon Mall Bandung,B_Mall,7216077665,105.4606245,107.6979936,-6.955164986
Istana Plaza,B_Mall,9751476048,63.74075514,107.5968964,-6.905837869
Bandung Indah Plaza,B_Mall,5358106596,132.4636461,107.6112834,-6.908620555
Cihampelas Walk (CiWalk),B_Mall,1013390378,163.4291235,107.6052621,-6.893960439
Balubur Town Square,B_Mall,1658919945,49.18768705,107.6085199,-6.898757142
Trans Studio Mall,B_Mall,5395278850,172.3308895,107.6366718,-6.925654689
Kosambi Plaza,B_Mall,5360155496,70.86025947,107.6220965,-6.919231277
Plaza Parahyangan,B_Mall,7856163872,40.48953911,107.6060515,-6.922630414
King's Mall,B_Mall,1013431927,127.7882743,107.6050382,-6.922765516
Istana BEC,B_Mall,364365279,107.9242932,107.6089188,-6.908219336
23 Paskal Shopping Center,B_Mall,5353968344,118.4313759,107.5942605,-6.915379762
Surapati Core,B_Mall,5391571114,66.09822863,107.6525342,-6.901375993
Living Plaza,B_Mall,2036066796,119.9604344,107.6116636,-6.900862748
Rumah Mode,B_Mall,5318313305,80.45139373,107.5996624,-6.882677027
Mall Festival Citylink,B_Mall,9596361930,113.3547356,107.5864033,-6.929639934
Bandung Trade Center,B_Mall,5460927300,81.303481,107.5848976,-6.893383906
Riau Junction,B_Mall,2520649169,68.69098728,107.6122551,-6.906598882
Miko Mall,B_Mall,11237562460,93.34086909,107.5811399,-6.960183724
Living Plaza,B_Mall,11138593909,49.89687257,107.5978357,-6.906023655
Paris Van Java,B_Mall,13049748546,125.0492242,107.5960108,-6.889273891
Tenth Avenue,B_Mall,5447158320,73.51217527,107.6409996,-6.946185241
Metro Indah Mall,B_Mall,3862534143,115.4180899,107.658733,-6.942665013
PT PLN UID Jawa Barat,C_KantorBUMN,25435365,61.14456595,107.6084149,-6.920844284
PT Asuransi Jiwasraya Kanwil Bandung,C_KantorBUMN,3256092261,57.20801137,107.6068573,-6.920757233
PT Bank Rakyat Indonesia (BRI),C_KantorBUMN,5852700917,36.59871167,107.6073717,-6.920887843
Bank Mandiri KC Asia Afrika,C_KantorBUMN,1849525939,65.94280457,107.613429,-6.921455185
PT Biofarma,C_KantorBUMN,5353724829,125.9207251,107.6004437,-6.899251826
RSUP Dr. Hasan Sadikin (RSHS),C_KantorBUMN,7983673000,155.4117925,107.5983889,-6.897736848
Stasiun Bandung (KAI),C_KantorBUMN,25434241,180.1470688,107.6020086,-6.914553633
Perum DAMRI,C_KantorBUMN,1014722882,20.4130469,107.602854,-6.912466076
PT Jasa Raharja,C_KantorBUMN,5406559361,108.4531211,107.659093,-6.93867467
Perum Bulog,C_KantorBUMN,1107827150,120.5273459,107.6626618,-6.938303086
Perum Perhutani,C_KantorBUMN,7284403247,88.24791092,107.7008857,-6.937061379
PD Kebersihan,C_KantorBUMN,11364589669,60.44007542,107.6334687,-6.898277072
