demand_id,nama_kelurahan,nama_kecamatan,wilayah_samsat,jumlah_penduduk,estimasi_usia_25_60,bobot_ev,nearest_node,dist_to_node_m,lon,lat
0,MEKAR MULYA,PANYILEUKAN,Soekarno Hatta,8059,4083.6962921189906,20.6839711834474,5355819556,18.691373244539417,107.69933354976428,-6.930279367302748
1,CIPADUNG WETAN,PANYILEUKAN,Soekarno Hatta,3650,1849.5460312984633,9.36797305119531,12353295002,378.6533885704877,107.70914277190974,-6.931087491281211
2,CIPADUNG KIDUL,PANYILEUKAN,Soekarno Hatta,16157,8187.15485690117,41.468038517304834,5458168313,54.25297369721357,107.71162150838886,-6.941732630888714
3,PASIR ENDAH,UJUNG BERUNG,Soekarno Hatta,18119,9122.937153075523,46.20778718211239,5354124463,0.18995559201662962,107.69002567036019,-6.9044882953046125
4,PASIR WANGI,UJUNG BERUNG,Soekarno Hatta,18937,9534.801085478844,48.29388298844651,5447060370,34.951268462269304,107.70608716473589,-6.9003927463723045
5,PASIRJATI,UJUNG BERUNG,Soekarno Hatta,19018,9575.584677807292,48.50045237758229,7283816685,125.23924940372359,107.7118263768544,-6.902483699296091
6,PALASARI,CIBIRU,Soekarno Hatta,23463,11823.705780929278,59.88721299531342,7283884784,2.072526986530564,107.72266917673537,-6.913613055782273
7,CISURUPAN,CIBIRU,Soekarno Hatta,15462,7791.763149841388,39.46537473185595,5458620278,40.71277930794965,107.72272723731888,-6.909573995298542
8,CIPADUNG KULON,PANYILEUKAN,Soekarno Hatta,14692,7444.802819681377,37.70801645703055,5355819771,8.40183422872511,107.70415631520866,-6.921340966055211
9,PASIR BIRU,CIBIRU,Soekarno Hatta,17325,8730.584437395037,44.22051592480949,5463976493,36.696911855702204,107.72452846474926,-6.919531299646901
10,CIPADUNG,CIBIRU,Soekarno Hatta,24135,12162.346631834298,61.6024330069424,8411931852,22.53710018040292,107.71903933248768,-6.923120400247722
11,PASANGGRAHAN,UJUNG BERUNG,Soekarno Hatta,21969,11061.416541526363,56.02620876449181,5456153777,13.498100870146136,107.7149891220006,-6.91010027200731
12,BABAKAN,BABAKAN CIPARAY,Pajajaran,32584,16224.138403244744,89.33428811220983,13882666075,49.2228888794359,107.57652467011712,-6.933321883428644
13,BABAKAN ASIH,BOJONGLOA KALER,Pajajaran,16579,8296.295421941262,45.68154111280778,13752409954,82.66495927162843,107.59377682574305,-6.931130598206347
14,BABAKAN CIPARAY,BABAKAN CIPARAY,Pajajaran,35456,17654.15698580425,97.2083390408333,3115502055,38.55117478199255,107.57934465371123,-6.9437107627709596
15,CARINGIN,BANDUNG KULON,Pajajaran,9465,4812.0869100789305,26.49659092898333,5481819100,66.53576582856495,107.57052673406471,-6.9330950900305925
16,CIBADAK,ASTANAANYAR,Pajajaran,13488,6696.123333513836,36.87058112074416,2723584288,31.47000740757839,107.5956841233943,-6.923204553528991
17,CIBADUYUT,BOJONGLOA KIDUL,Pajajaran,13930,7047.604814999722,38.805928758489095,5488117410,40.81869474733523,107.59523616467173,-6.9537278227457655
18,CIBADUYUT KIDUL,BOJONGLOA KIDUL,Pajajaran,9737,4926.2403505852335,27.125149197516752,5488117871,37.59603758183478,107.5910245678213,-6.958605888740115
19,CIBADUYUT WETAN,BOJONGLOA KIDUL,Pajajaran,9082,4594.856204582015,25.300462669389656,5488116358,246.110619320544,107.59774595172476,-6.9585292302409485
20,CIBUNTU,BANDUNG KULON,Pajajaran,18740,9527.57619597244,52.461290439423934,3445558163,1.16033425959941,107.5726366353828,-6.920924014802864
21,CIGONDEWAH KALER,BANDUNG KULON,Pajajaran,21524,10942.985594563012,60.25489943533409,5853182323,93.55414495335663,107.5623173730252,-6.936422267889966
22,CIGONDEWAH KIDUL,BANDUNG KULON,Pajajaran,9974,5070.866861186186,27.921500044974085,12141276228,27.205722568058054,107.56052729629106,-6.9430057559349665
23,CIGONDEWAH RAHAYU,BANDUNG KULON,Pajajaran,11047,5616.389233559636,30.92528684548113,6585586100,89.28312929993866,107.56520556632901,-6.947251724841393
24,CIJERAH,BANDUNG KULON,Pajajaran,24666,12540.405253460845,69.05070384091948,5497908103,3.919093140568487,107.56749025350913,-6.920006850722061
25,CIRANGRANG,BABAKAN CIPARAY,Pajajaran,12409,6178.656194631231,34.02127366757954,13758089437,58.166411630527534,107.58604888255785,-6.9566272641513445
26,GEMPOL SARI,BANDUNG KULON,Pajajaran,22168,11270.400699696751,62.05773140134205,5246546574,718.6449992995247,107.55341258391765,-6.931698085326967
27,JAMIKA,BOJONGLOA KALER,Pajajaran,27956,13989.458641401163,77.02956531453367,10169503990,143.35905581240675,107.5886289607032,-6.9235575927742845
28,KARANG ANYAR,ASTANAANYAR,Pajajaran,6575,3264.161544917962,17.97331486275896,3445679937,51.93123330182373,107.60134203219103,-6.923749784484827
29,KARASAK,ASTANAANYAR,Pajajaran,13649,6776.051851952131,37.31068814628092,13751933710,55.32331987373964,107.60982185335995,-6.952168796153546
