candidate_id,nama,klaster,nearest_node,dist_to_node_m,lon,lat,nearest_node_sumber,dist_to_node_m_sumber
0,Kantor Kelurahan Cigadung,C_Kantor,6956529093,9.868495632884429,107.6252502117726,-6.8798411776607065,6956529093,9.868495632884429
1,PT ASABRI,C_Kantor,25450505,10.483988384456286,107.6218761,-6.905138524000004,25450505,10.483988384456286
2,Pos Bandung Sumbersari Indah,C_Kantor,3445438920,11.657222936799442,107.573047,-6.934057999999996,3445438920,11.657222936799442
3,Kantor Kelurahan Sukahaji,C_Kantor,5348511619,13.160529482992729,107.58235530299788,-6.933527058129889,5348511619,13.160529482992729
4,PT Pertamina Bandung,C_Kantor,9340090484,13.719956062566782,107.6944991,-6.9367126230000045,9340090484,13.719956062566782
5,Kantor Kelurahan Kebon Gedang,C_Kantor,1667730842,13.854660358739194,107.64252926801409,-6.924394866974056,1667730842,13.854660358739194
6,Kantor Kelurahan Balonggede,C_Kantor,1783568652,14.030047229802689,107.60809282582404,-6.923923795230055,1783568652,14.030047229802689
7,Pertamina,A_SPBU,1982778316,14.573802854096346,107.6117403,-6.954875700000006,1982778316,14.573802854096346
8,Kantor Kelurahan Pasteur,C_Kantor,10174541821,15.784850395332295,107.60190471181784,-6.891251631798032,10174541821,15.784850395332295
9,Kantor Kelurahan Babakan,C_Kantor,12342798717,16.011895510495094,107.5783130346652,-6.92822290160816,12342798717,16.011895510495094
10,Kantor Kelurahan Samoja,C_Kantor,1667722604,16.32054805817731,107.6264144630201,-6.920923673222156,1667722604,16.320548058407635
11,Pertamina,A_SPBU,11041650667,16.39314855807309,107.6316811,-6.925706782000007,11041650667,16.39314855807309
12,GH Universal Hotel,D_Hotel,305868946,16.679737174731113,107.5984922,-6.849308500000004,305868946,16.679737174745927
13,Kantor Kelurahan Babakan Asih,C_Kantor,12443028896,17.448692453416058,107.59445007249629,-6.934587655721766,12443028896,17.448692453416058
14,Pos Bandung Antapani,C_Kantor,4155817862,17.741396961811063,107.656957,-6.915840999999992,4155817862,17.741396961811063
15,Perum Pembangunan Perumahan Nasional (Perumnas),C_Kantor,1382551353,18.056954387143023,107.631878,-6.897732595000004,1382551353,18.056954387143023
16,Kantor Kelurahan Sarijadi,C_Kantor,29357435,19.333662820724967,107.58063320000063,-6.87155870000085,29357435,19.333662820724967
17,RS Ibu & Anak Al-Islam,E_RumahSakit,1849960436,19.40000962641167,107.63883591642583,-6.909233000409598,1849960436,19.4000096260078
18,Kantor Kecamatan Coblong,C_Kantor,1709858093,19.628340576974466,107.6110980582702,-6.883288522276818,1709858093,19.628340576974463
19,Kantor Kelurahan Cibuntu,C_Kantor,5495699609,19.83520416803774,107.57310905527882,-6.918003183084254,5495699609,19.83520416803774
20,Kantor Kelurahan Maleer,C_Kantor,1438388885,20.38626230486424,107.63978282188346,-6.926929237151722,1438388885,20.38626230486424
21,Perum DAMRI,C_Kantor,1014722882,20.412656290785595,107.602854,-6.912466075999994,1014722882,20.412656290785595
22,Pertamina,A_SPBU,11520711531,20.414726120242214,107.6070315,-6.904366663999994,11520711531,20.41472612024221
23,RSIA Harapan Bunda,E_RumahSakit,2255721306,20.774648940277842,107.6621101500848,-6.955948268763473,2255721306,20.774648938299823
24,Kantor Kelurahan Cijagra,C_Kantor,3115110108,20.834505078635804,107.62625895276898,-6.9449054323574,3115110108,20.834505078635804
25,Kantor Kelurahan Pelindung Hewan,C_Kantor,1014721714,21.789967311363654,107.60450601593053,-6.939533946040091,1014721714,21.78996731136365
26,Pertamina,A_SPBU,5348142890,22.169700581911975,107.5840572,-6.918594399999997,5348142890,22.16970058191197
27,Kantor Kelurahan Ciumbuleuit,C_Kantor,3029500133,22.17858906221037,107.60476497440354,-6.866450692077782,3029500133,22.17858906221037
28,Kantor Kelurahan Karasak,C_Kantor,5353902675,22.2869067216235,107.60763373347936,-6.950679516886582,5353902675,22.2869067216235
29,Pertamina,A_SPBU,6443221336,22.899220936253997,107.6103198,-6.936348496000002,6443221336,22.899220936254
30,Kantor Kecamatan Cibeunying Kaler,C_Kantor,9751023796,22.993696722584147,107.62645364698392,-6.885829995645017,9751023796,22.993696722584147
31,Kantor Kelurahan Kebon Pisang,C_Kantor,12617768046,23.404623457065647,107.6188319,-6.918744499999993,12617768046,23.404623457065647
32,Kantor Kelurahan Ledeng,C_Kantor,1712437451,25.18912363243563,107.59939943617816,-6.863010077784493,1712437451,25.18912363243563
33,Braga Citywalk,B_Mall,5358212387,25.620474808893956,107.6084817,-6.917048600000008,5358212387,25.62047480889396
34,Kecamatan Sukasari,C_Kantor,8414582513,25.679476503156685,107.58257080000249,-6.86896710001661,8414582513,25.679476503156685
35,Pertamina,A_SPBU,6411468691,25.798675735335717,107.6379847,-6.952285799999998,6411468691,25.79867573533572
36,Pertamina,A_SPBU,3472154933,26.252684285558907,107.6387437,-6.960592204000004,3472154933,26.252684285558907
37,PT Sarinah,C_Kantor,25435344,26.253372990602305,107.6092284,-6.9197399969999935,25435344,26.253372990602305
38,Pertamina,A_SPBU,29358830,26.295943310996144,107.6020333,-6.887683700000003,29358830,26.295943310996144
39,Kantor Kelurahan Panyileukan,C_Kantor,3934441491,26.746201590071507,107.71451453556784,-6.945782431878561,3934441491,26.746201590071507
40,Dinas Koperasi UKM Kota Bandung,C_Kantor,3675493857,26.79371972162492,107.66362439511308,-6.937945575023297,3675493857,26.79371972162492
41,Pertamina,A_SPBU,5865112018,26.97251702262663,107.6650947,-6.904171499999996,5865112018,26.97251702262663
42,Kantor Kelurahan Maleber,C_Kantor,5504550147,27.24529891465051,107.5735059712468,-6.907446184766596,5504550147,27.24529891465051
43,Pos Bandung Ciwastra,C_Kantor,5458662121,27.42248917066558,107.657319,-6.957874000000007,5458662121,27.42248917066558
44,PT INTI,C_Kantor,10174374459,27.640574646312785,107.6072515,-6.937859737999998,10174374459,27.64057464641822
45,Dinas Pariwisata Dan Kebudayaan Provinsi Jawa Barat,C_Kantor,5865246383,27.750370548056814,107.62933706756196,-6.913349894344743,5865246383,27.75037054805681
46,RSIA Graha Bunda,E_RumahSakit,5392239472,27.831967148882356,107.64551635877568,-6.913087944262211,5392239472,27.831967150141683
47,Pertamina,A_SPBU,3807746818,28.22197593150114,107.6208132,-6.868986400000007,3807746818,28.22197593150114
48,Kelurahan Sukasari,C_Kantor,5458127250,28.245949419345482,107.58261499399092,-6.86829584790562,5458127250,28.24594941934548
49,Pertamina,A_SPBU,5397823036,28.47713836016645,107.6423171,-6.94293914999999,5397823036,28.47713836016645
50,Pos Ujungberung Alun-Alun,C_Kantor,634440496,28.855543969768046,107.701846,-6.913186000000006,634440496,28.855543969768046
51,Pertamina,A_SPBU,5353648470,28.90474878809089,107.677419,-6.9402950499999925,5353648470,28.904748788013126
52,Pos Bandung Babakan Ciparay,C_Kantor,1911634982,29.17487505365089,107.578454,-6.926632999999996,1911634982,29.17487505365089
53,Pertamina,A_SPBU,3278023502,29.384387474520437,107.644464,-6.918377599999997,3278023502,29.38438747452044
54,KESBANGPOL (BADAN KESATUAN BANGSA DAN POITIK) JAWA BARAT,C_Kantor,2519917312,29.471465771516588,107.6324182,-6.909915399999999,2519917312,29.471465771516588
55,Pertamina,A_SPBU,1658426557,29.557033896383075,107.5813635,-6.882700274999993,1658426557,29.557033896383075
56,Pertamina,A_SPBU,3110236069,29.608922422196798,107.6168083,-6.938256755000007,3110236069,29.6089224221968
57,PT Barata Indonesia,C_Kantor,5474691885,29.6725697760432,107.6433954,-6.895405582999994,5474691885,29.6725697760432
58,Pertamina,A_SPBU,9336898538,29.742287347086585,107.6951878,-6.913801600000001,9336898538,29.742287347086585
59,Pertamina,A_SPBU,3277378563,29.777133780928732,107.6184175,-6.916540100000005,3277378563,29.77713378092873
60,Kantor Kelurahan Warung Muncang,C_Kantor,13752433380,30.153261952305108,107.5770452532136,-6.925115002097339,13752433380,30.153261952305108
61,Pertamina,A_SPBU,3272299574,30.22453443562041,107.625816,-6.9492397,3272299574,30.22453443562041
62,Kantor Kecamatan Bojongloa Kaler,C_Kantor,5355737900,30.95590388178768,107.59366238538227,-6.938753681637051,5355737900,30.95590388178768
63,Pertamina,A_SPBU,9763831989,30.979349838384596,107.5892089,-6.895099549999999,9763831989,30.9793498383846
64,"Balai Besar Logam dan Mesin, Metal Industries Development Center - MIDC, Kementerian Perindustrian",C_Kantor,8418368556,31.2161545312465,107.60988470000534,-6.88042595000861,8418368556,31.2161545312465
65,Badan Pengawas Pemilu,C_Kantor,9684418896,31.259699323324973,107.635258,-6.9313309,9684418896,31.259699323324973
66,Rumah Sakit Rizky Bersalin,E_RumahSakit,5465992636,31.38953568722047,107.6196519,-6.8886552000000085,5465992636,31.38953568722047
67,Pertamina,A_SPBU,5395278919,31.46907469128951,107.6440384,-6.922388900000001,5395278919,31.46907469128951
68,Pengadilan Tinggi Jawa Barat,C_Kantor,3271908170,31.636968404265453,107.6492573,-6.903114599999994,3271908170,31.636968404265453
69,Kecamatan Bojongloa Kidul,C_Kantor,3110065033,32.15126706492637,107.59734092802984,-6.941213432125894,3110065033,32.15126706492637
70,PT PPRO BIJB Aerocity Development,C_Kantor,13752166046,32.2014016663127,107.6395416,-6.946160091999997,13752166046,32.2014016663127
71,Kantor Kecamatan Sumur Bandung,C_Kantor,1857128509,32.2686418166962,107.6180032999976,-6.913336150004002,1857128509,32.2686418166962
72,SPBU Pertamina,A_SPBU,5355891555,32.28767984121709,107.6037513,-6.930293622000002,5355891555,32.28767984121709
73,Pertamina,A_SPBU,2493836067,33.149404233272975,107.6343231,-6.899731599999999,2493836067,33.149404233272975
74,Kantor Kecamatan Rancasari,C_Kantor,9662001149,33.386167143129875,107.67499878464136,-6.948008786203475,9662001149,33.386167143129875
75,Pertamina,A_SPBU,2477162528,34.18399501152002,107.6419203,-6.8992840999999965,2477162528,34.18399501152002
76,PT Asuransi Jasa Indonesia (Jasindo),C_Kantor,364365279,34.19767450402814,107.6087831,-6.909341323999994,364365279,34.19767450402814
77,RS Muhammadiyah Bandung,E_RumahSakit,1778148701,34.222949809553214,107.62344456409184,-6.933342907445049,1778148701,34.222949810775646
78,Pertamina,A_SPBU,3357368464,34.24484815915165,107.6256199,-6.891057600000002,3357368464,34.24484815915165
79,Pertamina,A_SPBU,5465992888,34.38972176805933,107.6165886,-6.890806120999996,5465992888,34.38972176805933
80,Pertamina,A_SPBU,29358935,34.532038925134714,107.5987095,-6.880604300000002,29358935,34.532038925134714
81,Perum Pegadaian,C_Kantor,5853175160,35.19782518449995,107.6092465,-6.928001483999996,5853175160,35.19782518449995
82,Pengadilan Agama Bandung,C_Kantor,8410718959,35.20681641007,107.6565229,-6.912937700000003,8410718959,35.20681641007
83,Pertamina,A_SPBU,7205262601,35.32245189614386,107.6517728,-6.913621699999996,7205262601,35.32245189614386
84,Kantor Kelurahan Turangga,C_Kantor,3068325990,35.391295028626566,107.63126505891852,-6.939518698310659,3068325990,35.391295028626566
85,Kantor Kelurahan Lebak Siliwangi,C_Kantor,29359106,35.53556979101036,107.61108884923154,-6.884925432952644,29359106,35.53556979101036
86,Dinas Pemuda dan Olahraga Jawa Barat,C_Kantor,5346041425,35.79935011653515,107.67443716585466,-6.909869335322367,5346041425,35.79935011674928
87,PT Len Industri,C_Kantor,5348770388,35.805183949377444,107.61944,-6.949371442999997,5348770388,35.805183949377444
88,Kantor Kelurahan Binong,C_Kantor,1667742891,35.91227074869061,107.64016606065988,-6.943083410461749,1667742891,35.91227074869061
89,Kelurahan Batununggal,C_Kantor,3115195444,35.93948135937325,107.63797848826316,-6.952950464895392,3115195444,35.93948135937325
90,Rumah Sakit Jiwa Hurip Waluya,E_RumahSakit,29356970,36.11849255756389,107.5941316,-6.883594599999997,29356970,36.11849255756389
91,voco Bandung Setiabudi,D_Hotel,1676078410,36.12753913706586,107.593327,-6.867029999999991,1676078410,36.12753913706586
92,Pos Bandung Turangga,C_Kantor,5397823119,36.221525875421385,107.637254,-6.935163999999999,5397823119,36.221525875421385
93,Pertamina,A_SPBU,11369618809,36.53964527268803,107.5858523,-6.907004799999999,11369618809,36.53964527268803
94,PT Bank Rakyat Indonesia (BRI),C_Kantor,5852700917,36.60072368753901,107.6073717,-6.920887843000002,5852700917,36.60072368753901
95,Pertamina,A_SPBU,10154700107,36.65008250214353,107.6339003,-6.913408788000005,10154700107,36.65008250214353
96,DINAS PERTANAHAN KOTA BANDUNG,C_Kantor,1781968754,36.890716323533,107.6573086,-6.940720700000006,1781968754,36.890716323533
97,Pertamina,A_SPBU,6637726062,36.98592148421428,107.6271612,-6.899144349999997,6637726062,36.98592148421428
98,Pertamina,A_SPBU,5648631891,37.44838034602262,107.5708193,-6.914150699999995,5648631891,37.44838034602262
99,Pertamina,A_SPBU,5458737558,37.98496530693472,107.5816606,-6.889067300000006,5458737558,37.98496530693472
100,Dinas Perumahan dan Kawasan Permukiman Kota Bandung,C_Kantor,8763398208,38.01199507802137,107.58293586428564,-6.945781149450977,8763398208,38.01199507802137
101,Pertamina,A_SPBU,11107827260,38.829120826053675,107.6119467,-6.919876054999991,11107827260,38.82912082605368
