nama,klaster,nearest_node,dist_to_node_m,lon,lat
Pertamina,A_SPBU,29358830,26.295943310996144,107.6020333,-6.8876837
Pertamina,A_SPBU,11369618809,36.53964527268803,107.5858523,-6.9070048
Pertamina,A_SPBU,2493836067,33.149404233272975,107.6343231,-6.8997316
Pertamina,A_SPBU,29358935,34.532038925134714,107.5987095,-6.8806043
Pertamina,A_SPBU,5348142890,22.169700581911975,107.5840572,-6.9185944
Pertamina,A_SPBU,3277378563,29.777133780928732,107.6184175,-6.9165401
Pertamina,A_SPBU,5460962109,39.64680928088361,107.6814323,-6.9669124
Pertamina,A_SPBU,3807746818,28.22197593150114,107.6208132,-6.8689864
Pertamina,A_SPBU,5458737558,37.98496530693472,107.5816606,-6.8890673
Pertamina,A_SPBU,3272299574,30.22453443562041,107.625816,-6.9492397
Pertamina,A_SPBU,1982778316,14.573802854096346,107.6117403,-6.9548757
Pertamina,A_SPBU,3357368464,34.24484815915165,107.6256199,-6.8910576
Pertamina,A_SPBU,4620173045,51.43543053988797,107.6734695,-6.9045444
Pertamina,A_SPBU,7284309270,73.55080206280302,107.7120823,-6.9289714
Pertamina,A_SPBU,2520649152,57.2238619033304,107.6185972,-6.9057833
Pertamina,A_SPBU,5395278919,31.46907469128951,107.6440384,-6.9223889
Pertamina,A_SPBU,7205262601,35.32245189614386,107.6517728,-6.9136217
Pertamina,A_SPBU,3278023502,29.384387474520437,107.644464,-6.9183776
Pertamina,A_SPBU,5394983543,49.33365614447218,107.6589018,-6.9136483
Pertamina,A_SPBU,2477666621,84.85796343378507,107.5746074,-6.9129281
Pertamina,A_SPBU,2477162528,34.18399501152002,107.6419203,-6.8992841
Pertamina,A_SPBU,6485352111,67.4860562856956,107.5748775,-6.9266538
Pertamina,A_SPBU,9336898538,29.742287347086585,107.6951878,-6.9138016
Pertamina,A_SPBU,6411468691,25.798675735335717,107.6379847,-6.9522858
Pertamina,A_SPBU,5865112018,26.97251702262663,107.6650947,-6.9041715
Pertamina,A_SPBU,5348638966,164.26435589647215,107.5820851,-6.9413633
Pertamina,A_SPBU,1849960732,48.34259390395151,107.6370205,-6.9121984
Pertamina,A_SPBU,5648631891,37.44838034602262,107.5708193,-6.9141507
Pertamina,A_SPBU,3115483150,63.19048355002363,107.579498,-6.9294651
Pertamina,A_SPBU,7712789381,108.60834370719853,107.6306979,-6.9224243
Pertamina,A_SPBU,10866516960,76.20720900260432,107.5859941,-6.8936046
