addr_kelurahan,nearest_node,dist_to_node_m,element,id,nama_kelurahan_osm,nama_kelurahan,nama_kecamatan,jumlah_penduduk,lon,lat,jarak_ke_spklu_terdekat_m
,3115483168,125.83827334044946,,,,Suka Asih,Bojongloa Kaler,20219,107.58623142005764,-6.932382453317148,1136.3430049671617
,3115483168,124.16910059227722,,,,Suka Asih,Bojongloa Kaler,20219,107.58627199358187,-6.932234226659405,1136.3430049671617
,5862651605,80.67324051793099,,,,Suka Asih,Bojongloa Kaler,20219,107.58617867964546,-6.933637996014758,642.4893299506983
,5862651605,96.64873258262962,,,,Suka Asih,Bojongloa Kaler,20219,107.58621905000288,-6.933489750013858,642.4893299506983
,3115483210,107.54293956480304,,,,Suka Asih,Bojongloa Kaler,20219,107.58625945000288,-6.933341500013869,786.0373468400468
,3115483210,116.19573394609034,,,,Suka Asih,Bojongloa Kaler,20219,107.58629982036028,-6.933193304012959,786.0373468400468
,3115483210,126.55563234714224,,,,Suka Asih,Bojongloa Kaler,20219,107.58634020000288,-6.933045050013825,786.0373468400468
,3115483168,100.4184758689768,,,,Suka Asih,Bojongloa Kaler,20219,107.58646135000286,-6.932600300013835,1136.3430049671617
,3115483168,95.43659275282776,,,,Suka Asih,Bojongloa Kaler,20219,107.58650172036027,-6.932452104012959,1136.3430049671617
,3115483168,93.33085316943176,,,,Suka Asih,Bojongloa Kaler,20219,107.58654207964344,-6.932303846010663,1136.3430049671617
,3115483168,94.29202067527731,,,,Suka Asih,Bojongloa Kaler,20219,107.5865824500029,-6.932155600013839,1136.3430049671617
,3115483168,98.2258227468348,,,,Suka Asih,Bojongloa Kaler,20219,107.58662285000288,-6.932007400013849,1136.3430049671617
,3115483163,101.08762283536936,,,,Suka Asih,Bojongloa Kaler,20219,107.58666325000289,-6.9318591500138265,1226.9483803540054
,3115483163,95.2179987603078,,,,Suka Asih,Bojongloa Kaler,20219,107.58670362036028,-6.931710904012944,1226.9483803540054
,3115483163,92.15605791827134,,,,Suka Asih,Bojongloa Kaler,20219,107.5867439676758,-6.931562666370385,1226.9483803540054
,3115483163,92.17418505618603,,,,Suka Asih,Bojongloa Kaler,20219,107.58678436197482,-6.93141442965884,1226.9483803540054
,9113612656,43.90729338210056,,,,Suka Asih,Bojongloa Kaler,20219,107.58706665000132,-6.933510550007717,1174.9228832928313
