p,total_jarak_berbobot,jarak_rata2_per_orang_m,jarak_median_m,jarak_terjauh_m,persen_titik_jauh_dari_3km
10,130027960792.39061,1525.8218482221575,1275.5855925169474,4991.406840334689,9.783337056064328
15,122260505945.8491,1434.674127088122,1255.142385316511,4991.406840334689,4.042885861067679
20,119721027434.46065,1404.8744457568591,1207.5028654493788,3316.8603584080292,3.194103194103194
25,119353664410.78993,1400.5635996562985,1204.7136596776938,3274.6453588210334,3.1717668081304446
