nearest_node,dist_to_node_m,nama_kelurahan,nama_kecamatan,jumlah_penduduk,lon,lat,wilayah_samsat,rasio_ev_wilayah,estimasi_ev
302280706,50.30553821245502,Manjahlega,Rancasari,22353,107.6660914,-6.940647200000004,Soekarno Hatta,0.0024232107542493,54.1660299897364
9307974158,21.1668135288705,Cisaranten Wetan,Cinambo,6670,107.6882496,-6.9267996999999975,Soekarno Hatta,0.0024232107542493,16.162815730843366
5358149097,2.849088551221661,Mekar Mulya,Panyileukan,8059,107.7014762,-6.9243032999999965,Soekarno Hatta,0.0024232107542493,19.52865546849576
12573341903,15.266394370538396,Kujangsari,Bandung Kidul,23091,107.6383848,-6.965355599999993,Soekarno Hatta,0.0024232107542493,55.95435952637244
11369732750,58.98023391368489,Sukahaji,Babakan Ciparay,32479,107.581805,-6.922430199999996,Pajajaran,0.0025141975770577,81.65862310525748
9340200136,6.476403624640206,Sekejati,Buahbatu,26388,107.6531155,-6.951553499999993,Soekarno Hatta,0.0024232107542493,63.943685383132646
11052060891,16.95363719336463,Pasanggrahan,Ujungberung,21969,107.716641,-6.910842199999998,Soekarno Hatta,0.0024232107542493,53.23551706010464
1381644983,17.883741448084653,Sekeloa,Coblong,27466,107.61844063362668,-6.883624041819182,Kawaluyaan,0.0026821646702334,73.66833483263103
5149616893,36.60168031455195,Sekeloa,Coblong,27466,107.61694992147132,-6.88613303254299,Kawaluyaan,0.0026821646702334,73.66833483263103
9814074564,84.25375981778068,Cihapit,Bandung Wetan,4223,107.62473296590936,-6.909832169619745,Kawaluyaan,0.0026821646702334,11.32678140239572
302280706,44.63817872568308,Manjahlega,Rancasari,22353,107.66601948713097,-6.940598893313972,Soekarno Hatta,0.0024232107542493,54.1660299897364
1709854430,12.039980404088157,Dago,Coblong,36061,107.61475977094716,-6.879196674960111,Kawaluyaan,0.0026821646702334,96.72154017328724
5463988167,65.88342512915571,Cipaganti,Coblong,12118,107.60571914117772,-6.89189295733324,Kawaluyaan,0.0026821646702334,32.50247147388855
3373712065,33.81347395767557,Dago,Coblong,36061,107.61768836670848,-6.877109705247971,Kawaluyaan,0.0026821646702334,96.72154017328724
1662376887,18.59854153319156,Dago,Coblong,36061,107.61901469968792,-6.874134771646624,Kawaluyaan,0.0026821646702334,96.72154017328724
1381585534,25.75367197126823,Sekeloa,Coblong,27466,107.6161205500005,-6.881250150001881,Kawaluyaan,0.0026821646702334,73.66833483263103
1381585557,58.68668033085447,Dago,Coblong,36061,107.61515773358124,-6.882362248419709,Kawaluyaan,0.0026821646702334,96.72154017328724
1960168485,34.790688250388214,Dago,Coblong,36061,107.61598419024205,-6.880122588181369,Kawaluyaan,0.0026821646702334,96.72154017328724
2325448480,39.22452833147973,Dago,Coblong,36061,107.61609445454636,-6.879572281398474,Kawaluyaan,0.0026821646702334,96.72154017328724
12079490288,13.143408852721391,Dago,Coblong,36061,107.61588060348264,-6.880987817458385,Kawaluyaan,0.0026821646702334,96.72154017328724
1662377003,30.73267322837047,Dago,Coblong,36061,107.61714580503563,-6.877392504698896,Kawaluyaan,0.0026821646702334,96.72154017328724
1662376887,37.82326003782949,Dago,Coblong,36061,107.61887403790632,-6.874264265581237,Kawaluyaan,0.0026821646702334,96.72154017328724
3806722513,36.88694052457035,Dago,Coblong,36061,107.61668583095968,-6.880283591606983,Kawaluyaan,0.0026821646702334,96.72154017328724
1662376617,30.68713187040326,Dago,Coblong,36061,107.61792494999952,-6.876071500009407,Kawaluyaan,0.0026821646702334,96.72154017328724
1662376617,32.62296854117388,Dago,Coblong,36061,107.61785477532604,-6.876377163246007,Kawaluyaan,0.0026821646702334,96.72154017328724
5463827219,48.31141305780688,Sekeloa,Coblong,27466,107.61494125369228,-6.8831283542643,Kawaluyaan,0.0026821646702334,73.66833483263103
1662377003,49.99986227044266,Dago,Coblong,36061,107.6172910066226,-6.8768076724237455,Kawaluyaan,0.0026821646702334,96.72154017328724
11142011576,42.80680486523277,Dago,Coblong,36061,107.61810066679786,-6.875849702012348,Kawaluyaan,0.0026821646702334,96.72154017328724
1662376617,38.98227257369167,Dago,Coblong,36061,107.6179784896351,-6.875942446926595,Kawaluyaan,0.0026821646702334,96.72154017328724
1662376803,23.79063922441604,Dago,Coblong,36061,107.61814347146104,-6.876511487106403,Kawaluyaan,0.0026821646702334,96.72154017328724
1960168421,26.57053320842982,Dago,Coblong,36061,107.61812900000363,-6.876669099999505,Kawaluyaan,0.0026821646702334,96.72154017328724
1662376865,25.84126216859183,Dago,Coblong,36061,107.6208293950918,-6.868611775824727,Kawaluyaan,0.0026821646702334,96.72154017328724
1662377004,40.39183883398832,Dago,Coblong,36061,107.62091146287727,-6.867749078320267,Kawaluyaan,0.0026821646702334,96.72154017328724
1662376902,42.635795982959294,Dago,Coblong,36061,107.61999840382916,-6.873089109088977,Kawaluyaan,0.0026821646702334,96.72154017328724
1662376887,30.481744406597286,Dago,Coblong,36061,107.61915880000032,-6.8738405000009895,Kawaluyaan,0.0026821646702334,96.72154017328724
9857241871,53.24747775526365,Kebon Pisang,Sumur Bandung,12580,107.62060755781866,-6.920468280668893,Kawaluyaan,0.0026821646702334,33.741631551536386
1658919998,45.5441608408433,Taman Sari,Bandung Wetan,22984,107.60750738818004,-6.899042008644988,Kawaluyaan,0.0026821646702334,61.646872780644856
5455786442,8.284227847232296,Karang Pamulang,Mandalajati,19919,107.6760946130112,-6.8956539735236735,Soekarno Hatta,0.0024232107542493,48.26793501389341
5455786438,19.717223906018127,Karang Pamulang,Mandalajati,19919,107.67588823818213,-6.895200349568349,Soekarno Hatta,0.0024232107542493,48.26793501389341
5455786438,28.53205833104307,Karang Pamulang,Mandalajati,19919,107.67577056542,-6.895352978032633,Soekarno Hatta,0.0024232107542493,48.26793501389341
3443083570,21.19242868469967,Sekeloa,Coblong,27466,107.6182600940514,-6.886652917112985,Kawaluyaan,0.0026821646702334,73.66833483263103
3441810674,51.084241733818224,Sekeloa,Coblong,27466,107.6181283682398,-6.886320219917648,Kawaluyaan,0.0026821646702334,73.66833483263103
3443083570,35.57834628608965,Sekeloa,Coblong,27466,107.61813927641089,-6.886741893861173,Kawaluyaan,0.0026821646702334,73.66833483263103
3443083570,43.53454784630362,Sekeloa,Coblong,27466,107.61806959762475,-6.886759791099812,Kawaluyaan,0.0026821646702334,73.66833483263103
3441810674,40.89694014569312,Sekeloa,Coblong,27466,107.61830297638885,-6.886185984458205,Kawaluyaan,0.0026821646702334,73.66833483263103
3441810670,26.538501859830365,Sekeloa,Coblong,27466,107.6183855730924,-6.885941048525511,Kawaluyaan,0.0026821646702334,73.66833483263103
3441810670,34.01140559740848,Sekeloa,Coblong,27466,107.61848635821816,-6.88601232166669,Kawaluyaan,0.0026821646702334,73.66833483263103
1385463119,14.963542493057233,Sekeloa,Coblong,27466,107.61889138158524,-6.886276661050222,Kawaluyaan,0.0026821646702334,73.66833483263103
11104669202,129.67951975199395,Lebak Gede,Coblong,11156,107.61402535955844,-6.893083675418399,Kawaluyaan,0.0026821646702334,29.922229061124
11143200363,83.68767671737182,Sukawarna,Sukajadi,14842,107.58035546708142,-6.8818266684699125,Pajajaran,0.0025141975770577,37.31572043869058
11014872291,71.7064018410129,Sukawarna,Sukajadi,14842,107.5799216499968,-6.881496000000142,Pajajaran,0.0025141975770577,37.31572043869058
