candidate_id,nama,klaster,nearest_node,dist_to_node_m,lon,lat,nearest_node_sumber,dist_to_node_m_sumber,p,total_ev_dilayani
2,Pos Bandung Sumbersari Indah,C_Kantor,3445438920,11.657222936799442,107.573047,-6.934057999999996,3445438920,11.657222936799442,25,459.4980374551413
4,PT Pertamina Bandung,C_Kantor,9340090484,13.719956062566782,107.6944991,-6.9367126230000045,9340090484,13.719956062566782,25,218.83416212103214
7,Pertamina,A_SPBU,1982778316,14.573802854096346,107.6117403,-6.954875700000006,1982778316,14.573802854096346,25,203.5131507022389
29,Pertamina,A_SPBU,6443221336,22.899220936253997,107.6103198,-6.936348496000002,6443221336,22.899220936254,25,262.07438590576197
41,Pertamina,A_SPBU,5865112018,26.97251702262663,107.6650947,-6.904171499999996,5865112018,26.97251702262663,25,241.01164351614364
55,Pertamina,A_SPBU,1658426557,29.557033896383075,107.5813635,-6.882700274999993,1658426557,29.557033896383075,25,279.05466447494695
61,Pertamina,A_SPBU,3272299574,30.22453443562041,107.625816,-6.9492397,3272299574,30.22453443562041,25,168.17648839668675
67,Pertamina,A_SPBU,5395278919,31.46907469128951,107.6440384,-6.922388900000001,5395278919,31.46907469128951,25,303.2214375864699
74,Kantor Kecamatan Rancasari,C_Kantor,9662001149,33.386167143129875,107.67499878464136,-6.948008786203475,9662001149,33.386167143129875,25,182.20882423965142
78,Pertamina,A_SPBU,3357368464,34.24484815915165,107.6256199,-6.891057600000002,3357368464,34.24484815915165,25,367.6895656308659
90,Rumah Sakit Jiwa Hurip Waluya,E_RumahSakit,29356970,36.11849255756389,107.5941316,-6.883594599999997,29356970,36.11849255756389,25,239.31321781349237
113,Sheraton Bandung Hotel & Towers,D_Hotel,1662376943,41.760755218123236,107.6195436,-6.874398799999999,1662376943,41.76075521812324,25,103.00875736840695
132,Pertamina,A_SPBU,5460792486,48.04250089244274,107.655379,-6.956250934000008,5460792486,48.04250089244274,25,369.8005979738081
138,Pertamina,A_SPBU,5394983543,49.33365614447218,107.6589018,-6.913648299999998,5394983543,49.33365614447218,25,273.70005050385896
139,Living Plaza,B_Mall,11138593909,49.89545357320765,107.5978357,-6.906023654999999,11138593909,49.89545357320765,25,322.830597505735
142,RSAU Dr Salamun,E_RumahSakit,319706490,50.889451738910495,107.6048127,-6.8643150999999945,319706490,50.889451738910495,25,130.36948963280093
163,Rumah Sakit Sariningsih,E_RumahSakit,12836407572,58.74380371733868,107.61113185313704,-6.9065803979286695,12836407572,58.74380371733868,25,242.57022992133489
180,RS Rajawali,E_RumahSakit,8299293293,65.00521019976851,107.57311232083906,-6.912637465603588,8299293293,65.00521019976851,25,357.11089457668743
184,Kelurahan Pasanggrahan,C_Kantor,4848670777,66.1093646702573,107.70628684453128,-6.91708804649409,4848670777,66.1093646702573,25,482.14841672290663
190,Trans Luxury Hotel,D_Hotel,29489330,68.1915622566865,107.6362169,-6.927094900000005,29489330,68.1915622566865,25,420.7577443060073
205,PT Permodalan Nasional Madani,C_Kantor,7622389158,76.21041846194835,107.6468115,-6.906419218999993,7622389158,76.21041846194835,25,378.899570611685
223,RSUD Bandung Kiwari,E_RumahSakit,3445649629,86.2157420896043,107.59184541004107,-6.943496488675375,3445649629,86.2157420896043,25,430.40387718557616
238,Grand Mercure Bandung Setiabudi,D_Hotel,305868949,97.19136140052521,107.5950633,-6.8545699,305868949,97.1913614005252,25,70.30870616972857
241,Gedung Sekretariat,C_Kantor,12806309253,99.54729655995615,107.6853422500201,-6.907830899986784,12806309253,99.54729655995386,25,243.38465876336005
251,Mall Festival Citylink,B_Mall,9596361930,113.35822949961121,107.5864033,-6.929639933999996,9596361930,113.3582294996112,25,386.1108309156727
