p,demand_id,nama_kelurahan,wilayah_samsat,bobot_ev,candidate_id,nama_kandidat,klaster_kandidat,jarak_jaringan_m,jarak_jaringan_km
15,0,MEKAR MULYA,Soekarno Hatta,20.6839711834474,4,PT Pertamina Bandung,C_Kantor,1690.090692269927,1.690090692269927
15,1,CIPADUNG WETAN,Soekarno Hatta,9.36797305119531,184,Kelurahan Pasanggrahan,C_Kantor,2042.699914603767,2.0426999146037668
15,2,CIPADUNG KIDUL,Soekarno Hatta,41.468038517304834,4,PT Pertamina Bandung,C_Kantor,3148.760944142013,3.1487609441420132
15,3,PASIR ENDAH,Soekarno Hatta,46.20778718211239,184,Kelurahan Pasanggrahan,C_Kantor,2814.459458161167,2.8144594581611666
15,4,PASIR WANGI,Soekarno Hatta,48.29388298844651,184,Kelurahan Pasanggrahan,C_Kantor,2748.2632248416994,2.7482632248416996
15,5,PASIRJATI,Soekarno Hatta,48.50045237758229,184,Kelurahan Pasanggrahan,C_Kantor,2262.453079588375,2.2624530795883753
15,6,PALASARI,Soekarno Hatta,59.88721299531342,184,Kelurahan Pasanggrahan,C_Kantor,2672.750080477218,2.672750080477218
15,7,CISURUPAN,Soekarno Hatta,39.46537473185595,184,Kelurahan Pasanggrahan,C_Kantor,2831.503761877669,2.831503761877669
15,8,CIPADUNG KULON,Soekarno Hatta,37.70801645703055,184,Kelurahan Pasanggrahan,C_Kantor,998.1227513789509,0.9981227513789509
15,9,PASIR BIRU,Soekarno Hatta,44.22051592480949,184,Kelurahan Pasanggrahan,C_Kantor,2914.5413566447423,2.9145413566447425
15,10,CIPADUNG,Soekarno Hatta,61.6024330069424,184,Kelurahan Pasanggrahan,C_Kantor,2527.389977716132,2.527389977716132
15,11,PASANGGRAHAN,Soekarno Hatta,56.02620876449181,184,Kelurahan Pasanggrahan,C_Kantor,1761.8048427627623,1.7618048427627624
15,12,BABAKAN,Pajajaran,89.33428811220983,251,Mall Festival Citylink,B_Mall,2089.1206111433794,2.0891206111433793
15,13,BABAKAN ASIH,Pajajaran,45.68154111280778,251,Mall Festival Citylink,B_Mall,1782.380818671704,1.782380818671704
15,14,BABAKAN CIPARAY,Pajajaran,97.2083390408333,100,Dinas Perumahan dan Kawasan Permukiman Kota Bandung,C_Kantor,599.0263784927591,0.5990263784927591
15,15,CARINGIN,Pajajaran,26.49659092898333,19,Kantor Kelurahan Cibuntu,C_Kantor,2455.185660111333,2.4551856601113333
15,16,CIBADAK,Pajajaran,36.87058112074416,251,Mall Festival Citylink,B_Mall,1945.40247252198,1.9454024725219798
15,17,CIBADUYUT,Pajajaran,38.805928758489095,28,Kantor Kelurahan Karasak,C_Kantor,1910.8453096793799,1.9108453096793798
15,18,CIBADUYUT KIDUL,Pajajaran,27.125149197516752,28,Kantor Kelurahan Karasak,C_Kantor,3154.8960472061785,3.1548960472061784
15,19,CIBADUYUT WETAN,Pajajaran,25.300462669389656,28,Kantor Kelurahan Karasak,C_Kantor,2587.8769213892288,2.5878769213892285
15,20,CIBUNTU,Pajajaran,52.461290439423934,19,Kantor Kelurahan Cibuntu,C_Kantor,387.9809679861279,0.3879809679861279
15,21,CIGONDEWAH KALER,Pajajaran,60.25489943533409,19,Kantor Kelurahan Cibuntu,C_Kantor,3124.273335982055,3.124273335982055
15,22,CIGONDEWAH KIDUL,Pajajaran,27.921500044974085,100,Dinas Perumahan dan Kawasan Permukiman Kota Bandung,C_Kantor,3410.8157184054044,3.4108157184054044
15,23,CIGONDEWAH RAHAYU,Pajajaran,30.92528684548113,100,Dinas Perumahan dan Kawasan Permukiman Kota Bandung,C_Kantor,2808.128050134125,2.808128050134125
15,24,CIJERAH,Pajajaran,69.05070384091948,19,Kantor Kelurahan Cibuntu,C_Kantor,929.0650982531406,0.9290650982531407
15,25,CIRANGRANG,Pajajaran,34.02127366757954,100,Dinas Perumahan dan Kawasan Permukiman Kota Bandung,C_Kantor,2071.600366668298,2.071600366668298
15,26,GEMPOL SARI,Pajajaran,62.05773140134205,100,Dinas Perumahan dan Kawasan Permukiman Kota Bandung,C_Kantor,6271.922250718897,6.271922250718897
15,27,JAMIKA,Pajajaran,77.02956531453367,251,Mall Festival Citylink,B_Mall,1180.5224892841877,1.1805224892841877
15,28,KARANG ANYAR,Pajajaran,17.97331486275896,139,Living Plaza,B_Mall,2242.3582622204613,2.242358262220461
15,29,KARASAK,Pajajaran,37.31068814628092,28,Kantor Kelurahan Karasak,C_Kantor,266.85735619635847,0.2668573561963585
15,30,KEBON LEGA,Pajajaran,67.79755119851752,28,Kantor Kelurahan Karasak,C_Kantor,1569.131638780915,1.5691316387809149
15,31,KOPO,Pajajaran,89.37093829506725,251,Mall Festival Citylink,B_Mall,1812.6806621462065,1.8126806621462064
15,32,MARGAHAYU UTARA,Pajajaran,66.03565134638737,100,Dinas Perumahan dan Kawasan Permukiman Kota Bandung,C_Kantor,1598.5961509395092,1.5985961509395092
15,33,MARGASUKA,Pajajaran,35.34001269845276,100,Dinas Perumahan dan Kawasan Permukiman Kota Bandung,C_Kantor,2613.4399023098317,2.613439902309832
15,34,MEKAR WANGI,Pajajaran,31.61582810338067,28,Kantor Kelurahan Karasak,C_Kantor,1487.9080443423616,1.4879080443423616
15,35,NYENGSERET,Pajajaran,33.59028030929006,251,Mall Festival Citylink,B_Mall,2578.4739073173173,2.5784739073173175
15,36,PANJUNAN,Pajajaran,20.649493608103604,251,Mall Festival Citylink,B_Mall,2283.6945847181387,2.2836945847181385
15,37,PELINDUNG HEWAN,Pajajaran,55.53002556989894,28,Kantor Kelurahan Karasak,C_Kantor,1705.6928988549173,1.7056928988549174
15,38,SITUSAEUR,Pajajaran,60.45144680970663,251,Mall Festival Citylink,B_Mall,2437.560064017582,2.4375600640175823
15,39,SUKA ASIH,Pajajaran,55.71114541045057,251,Mall Festival Citylink,B_Mall,1059.4029287242183,1.0594029287242184
15,40,SUKAHAJI,Pajajaran,89.04641368759094,251,Mall Festival Citylink,B_Mall,484.1443509722165,0.4841443509722165
15,41,WARUNG MUNCANG,Pajajaran,61.321481700938186,19,Kantor Kelurahan Cibuntu,C_Kantor,1594.281505066792,1.594281505066792
15,42,WATES,Soekarno Hatta,21.630474607858524,28,Kantor Kelurahan Karasak,C_Kantor,1864.2715130023228,1.8642715130023229
15,43,MENGGER,Soekarno Hatta,29.88196623434645,28,Kantor Kelurahan Karasak,C_Kantor,3697.466904843787,3.697466904843787
15,44,CIJAURA,Soekarno Hatta,76.70151461826838,43,Pos Bandung Ciwastra,C_Kantor,1203.2391292542902,1.2032391292542903
15,45,SEKEJATI,Soekarno Hatta,67.84204490671267,43,Pos Bandung Ciwastra,C_Kantor,1960.5295333141805,1.9605295333141806
15,46,KUJANGSARI,Soekarno Hatta,59.61676881953463,43,Pos Bandung Ciwastra,C_Kantor,2093.3338214131136,2.0933338214131134
15,47,BATUNUNGGAL,Soekarno Hatta,52.70265912750251,28,Kantor Kelurahan Karasak,C_Kantor,2987.2934352160255,2.9872934352160256
15,48,JATI SARI,Soekarno Hatta,24.457381127692802,67,Pertamina,A_SPBU,3679.1722851710783,3.679172285171078
15,49,CISEUREUH,Kawaluyaan,48.84976841684003,28,Kantor Kelurahan Karasak,C_Kantor,715.9714141731621,0.7159714141731621
15,50,KEBON WARU,Kawaluyaan,42.18557449483329,67,Pertamina,A_SPBU,930.0748368341813,0.9300748368341812
15,51,KACAPIRING,Kawaluyaan,26.764218408240602,128,Kantor Kecamatan Lengkong,C_Kantor,2043.7185402699104,2.0437185402699103
15,52,MALEER,Kawaluyaan,50.59513588208743,67,Pertamina,A_SPBU,1147.7877578492858,1.1477877578492857
15,53,SAMOJA,Kawaluyaan,39.243663088029365,128,Kantor Kecamatan Lengkong,C_Kantor,1251.1246342178815,1.2511246342178814
15,54,CIBANGKONG,Kawaluyaan,53.588710123352314,128,Kantor Kecamatan Lengkong,C_Kantor,1587.7074170981357,1.5877074170981358
15,55,CIATEUL,Kawaluyaan,21.380871470087563,128,Kantor Kecamatan Lengkong,C_Kantor,2183.319764904327,2.183319764904327
15,56,PUNGKUR,Kawaluyaan,21.489331370750136,128,Kantor Kecamatan Lengkong,C_Kantor,2356.450868315876,2.3564508683158762
15,57,CIGERELENG,Kawaluyaan,35.081069448517724,28,Kantor Kelurahan Karasak,C_Kantor,1538.8670312185106,1.5388670312185107
15,58,TURANGGA,Kawaluyaan,45.65386543746289,128,Kantor Kecamatan Lengkong,C_Kantor,1826.509972557393,1.826509972557393
15,59,LINGKAR SELATAN,Kawaluyaan,28.991119459911932,128,Kantor Kecamatan Lengkong,C_Kantor,2337.5240004303546,2.3375240004303546
15,60,BALONG GEDE,Kawaluyaan,23.398796463993836,128,Kantor Kecamatan Lengkong,C_Kantor,2117.127087609968,2.117127087609968
15,61,ANCOL,Kawaluyaan,33.47415039396435,28,Kantor Kelurahan Karasak,C_Kantor,2107.507385483662,2.107507385483662
15,62,PASIRLUYU,Kawaluyaan,50.525188461285545,28,Kantor Kelurahan Karasak,C_Kantor,2249.2310045032978,2.2492310045032977
15,63,BURANGRANG,Kawaluyaan,28.036185150285643,128,Kantor Kecamatan Lengkong,C_Kantor,883.771077560222,0.883771077560222
15,64,CIKAWAO,Kawaluyaan,26.04054398825226,128,Kantor Kecamatan Lengkong,C_Kantor,1539.059579977494,1.539059579977494
15,65,GUMURUH,Kawaluyaan,57.30556404707046,128,Kantor Kecamatan Lengkong,C_Kantor,2295.2120901822404,2.2952120901822406
15,66,BINONG,Kawaluyaan,56.23212515327078,67,Pertamina,A_SPBU,2210.611575453858,2.210611575453858
15,67,KEBON GEDANG,Kawaluyaan,28.807770526918066,67,Pertamina,A_SPBU,568.5653907326455,0.5685653907326454
15,68,CIJAGRA,Kawaluyaan,35.06667457355225,128,Kantor Kecamatan Lengkong,C_Kantor,2062.3224221244095,2.0623224221244096
15,69,MALABAR,Kawaluyaan,24.282206861245765,128,Kantor Kecamatan Lengkong,C_Kantor,318.4952743629827,0.3184952743629827
15,70,PALEDANG,Kawaluyaan,17.643412050011495,128,Kantor Kecamatan Lengkong,C_Kantor,1434.6448354721736,1.4346448354721735
15,71,DERWATI,Soekarno Hatta,53.03343679444002,4,PT Pertamina Bandung,C_Kantor,3672.3007937878,3.6723007937878003
15,72,MEKARJAYA,Soekarno Hatta,54.364713025823505,43,Pos Bandung Ciwastra,C_Kantor,923.0562850429961,0.9230562850429961
15,73,KEBON PISANG,Kawaluyaan,35.54243483751473,128,Kantor Kecamatan Lengkong,C_Kantor,1897.3149904567854,1.8973149904567854
15,74,BRAGA,Kawaluyaan,17.943561498653104,139,Living Plaza,B_Mall,2832.798391850506,2.832798391850506
15,75,MERDEKA,Kawaluyaan,36.488914620548705,128,Kantor Kecamatan Lengkong,C_Kantor,2773.339792594247,2.7733397925942467
15,76,SUKAMAJU,Kawaluyaan,32.70108201785884,75,Pertamina,A_SPBU,1950.663815093743,1.9506638150937432
15,77,CIHAPIT,Kawaluyaan,12.03356355127864,75,Pertamina,A_SPBU,2532.4953197438904,2.5324953197438904
15,78,CITARUM,Kawaluyaan,6.511175163313209,75,Pertamina,A_SPBU,3203.5939677768174,3.2035939677768175
15,79,CIHAURGEULIS,Kawaluyaan,38.05435962961649,75,Pertamina,A_SPBU,2131.504228312875,2.131504228312875
15,80,TAMAN SARI,Kawaluyaan,65.49358860113384,139,Living Plaza,B_Mall,2446.028931943003,2.446028931943003
15,81,SUKALUYU,Kawaluyaan,47.713665575379856,75,Pertamina,A_SPBU,1597.0032214412386,1.5970032214412386
15,82,SUKAPADA,Kawaluyaan,67.66540280342495,75,Pertamina,A_SPBU,1591.8426156264647,1.5918426156264647
15,83,NEGLASARI,Kawaluyaan,28.450150295372058,75,Pertamina,A_SPBU,1400.9028572754164,1.4009028572754163
15,84,LEBAK SILIWANGI,Kawaluyaan,11.917377103823904,250,Rumah Sakit Ginjal Nyonya Ra Habibie,E_RumahSakit,2355.017827853428,2.355017827853428
15,85,PASIRLAYUNG,Kawaluyaan,66.30345381046837,41,Pertamina,A_SPBU,2249.0715037230666,2.2490715037230666
15,86,LEBAK GEDE,Kawaluyaan,31.867272044645134,250,Rumah Sakit Ginjal Nyonya Ra Habibie,E_RumahSakit,1559.0505207560682,1.559050520756068
15,87,CIPAGANTI,Kawaluyaan,34.61523867309158,139,Living Plaza,B_Mall,2343.9966203726126,2.3439966203726126
15,88,SEKELOA,Kawaluyaan,78.45701810489629,250,Rumah Sakit Ginjal Nyonya Ra Habibie,E_RumahSakit,705.0461771737723,0.7050461771737723
15,89,CIGADUNG,Kawaluyaan,96.68875357237697,250,Rumah Sakit Ginjal Nyonya Ra Habibie,E_RumahSakit,1836.6956260757847,1.8366956260757847
15,90,HEGARMANAH,Kawaluyaan,58.82765897858903,142,RSAU Dr Salamun,E_RumahSakit,1968.84625416722,1.96884625416722
15,91,DAGO,Kawaluyaan,103.00875736840695,250,Rumah Sakit Ginjal Nyonya Ra Habibie,E_RumahSakit,2652.3628548899096,2.6523628548899096
15,92,CIUMBULEUIT,Kawaluyaan,71.54183065421189,142,RSAU Dr Salamun,E_RumahSakit,1499.942744736104,1.499942744736104
15,93,LEDENG,Kawaluyaan,31.57852067132817,254,Setrasari Mall,B_Mall,4528.339267026363,4.528339267026363
15,94,SADANG SERANG,Kawaluyaan,78.32561845322422,250,Rumah Sakit Ginjal Nyonya Ra Habibie,E_RumahSakit,1660.8815546928245,1.6608815546928244
15,95,PADASUKA,Kawaluyaan,51.244761478681596,75,Pertamina,A_SPBU,1121.0539538986627,1.1210539538986628
15,96,CIKUTRA,Kawaluyaan,66.78700292771556,75,Pertamina,A_SPBU,951.8703843370129,0.9518703843370129
15,97,CICADAS,Kawaluyaan,47.084522327927644,75,Pertamina,A_SPBU,2126.9973038914327,2.1269973038914327
15,98,BABAKAN CIAMIS,Kawaluyaan,24.772342500423626,139,Living Plaza,B_Mall,2061.304700646941,2.061304700646941
15,99,KEBON JERUK,Pajajaran,31.51267920689884,139,Living Plaza,B_Mall,1563.6986433715306,1.5636986433715305
15,100,CIROYOM,Pajajaran,55.90762435976255,139,Living Plaza,B_Mall,1988.2701389620474,1.9882701389620474
15,101,DUNGUS CARIANG,Pajajaran,52.20318622334223,19,Kantor Kelurahan Cibuntu,C_Kantor,2595.6070370612624,2.5956070370612623
15,102,ARJUNA,Pajajaran,35.923068566697125,139,Living Plaza,B_Mall,884.7237893714153,0.8847237893714153
15,103,GARUDA,Pajajaran,28.925672634084354,19,Kantor Kelurahan Cibuntu,C_Kantor,1424.6217971582798,1.4246217971582797
15,104,MALEBER,Pajajaran,55.03419770334609,19,Kantor Kelurahan Cibuntu,C_Kantor,1456.9267894945406,1.4569267894945406
15,105,PASIRKALIKI,Pajajaran,25.359417816249408,139,Living Plaza,B_Mall,1543.4809788849877,1.5434809788849877
15,106,PAMOYANAN,Pajajaran,21.59322256313625,139,Living Plaza,B_Mall,806.580494911523,0.8065804949115231
15,107,SUKABUNGAH,Pajajaran,60.574114782254874,139,Living Plaza,B_Mall,1489.6590838961763,1.4896590838961763
