p,demand_id,nama_kelurahan,wilayah_samsat,bobot_ev,candidate_id,nama_kandidat,klaster_kandidat,jarak_jaringan_m,jarak_jaringan_km
25,38,SITUSAEUR,Pajajaran,60.45144680970663,223,RSUD Bandung Kiwari,E_RumahSakit,1265.6807789291277,1.2656807789291276
25,39,SUKA ASIH,Pajajaran,55.71114541045057,251,Mall Festival Citylink,B_Mall,1059.4029287242183,1.0594029287242184
25,40,SUKAHAJI,Pajajaran,89.04641368759094,251,Mall Festival Citylink,B_Mall,484.1443509722165,0.4841443509722165
25,41,WARUNG MUNCANG,Pajajaran,61.321481700938186,2,Pos Bandung Sumbersari Indah,C_Kantor,1349.642687385036,1.349642687385036
25,42,WATES,Soekarno Hatta,21.630474607858524,7,Pertamina,A_SPBU,961.7197270839442,0.9617197270839443
25,43,MENGGER,Soekarno Hatta,29.88196623434645,61,Pertamina,A_SPBU,1462.1016204336556,1.4621016204336557
25,44,CIJAURA,Soekarno Hatta,76.70151461826838,132,Pertamina,A_SPBU,906.0868505233242,0.9060868505233242
25,45,SEKEJATI,Soekarno Hatta,67.84204490671267,132,Pertamina,A_SPBU,1663.3772545832146,1.6633772545832146
25,46,KUJANGSARI,Soekarno Hatta,59.61676881953463,132,Pertamina,A_SPBU,1796.181542682148,1.796181542682148
25,47,BATUNUNGGAL,Soekarno Hatta,52.70265912750251,61,Pertamina,A_SPBU,751.9281508058939,0.7519281508058939
25,48,JATI SARI,Soekarno Hatta,24.457381127692802,74,Kantor Kecamatan Rancasari,C_Kantor,3150.3911086638163,3.1503911086638166
25,49,CISEUREUH,Kawaluyaan,48.84976841684003,7,Pertamina,A_SPBU,732.997895220097,0.7329978952200971
25,50,KEBON WARU,Kawaluyaan,42.18557449483329,67,Pertamina,A_SPBU,930.0748368341813,0.9300748368341812
25,51,KACAPIRING,Kawaluyaan,26.764218408240602,190,Trans Luxury Hotel,D_Hotel,2069.387479045593,2.069387479045593
25,52,MALEER,Kawaluyaan,50.59513588208743,190,Trans Luxury Hotel,D_Hotel,618.9325161903936,0.6189325161903936
25,53,SAMOJA,Kawaluyaan,39.243663088029365,190,Trans Luxury Hotel,D_Hotel,2188.6450489522867,2.188645048952287
25,54,CIBANGKONG,Kawaluyaan,53.588710123352314,190,Trans Luxury Hotel,D_Hotel,740.0721242468785,0.7400721242468785
25,55,CIATEUL,Kawaluyaan,21.380871470087563,29,Pertamina,A_SPBU,340.02475891873905,0.34002475891873907
25,56,PUNGKUR,Kawaluyaan,21.489331370750136,29,Pertamina,A_SPBU,1193.7558042819946,1.1937558042819947
25,57,CIGERELENG,Kawaluyaan,35.081069448517724,29,Pertamina,A_SPBU,1141.6249572348174,1.1416249572348174
25,58,TURANGGA,Kawaluyaan,45.65386543746289,190,Trans Luxury Hotel,D_Hotel,1699.5230621947753,1.6995230621947752
25,59,LINGKAR SELATAN,Kawaluyaan,28.991119459911932,190,Trans Luxury Hotel,D_Hotel,1005.3139905337916,1.0053139905337916
25,60,BALONG GEDE,Kawaluyaan,23.398796463993836,29,Pertamina,A_SPBU,1322.443968300223,1.3224439683002231
25,61,ANCOL,Kawaluyaan,33.47415039396435,29,Pertamina,A_SPBU,1278.8613127241717,1.2788613127241717
25,62,PASIRLUYU,Kawaluyaan,50.525188461285545,61,Pertamina,A_SPBU,1666.8943830755838,1.6668943830755838
25,63,BURANGRANG,Kawaluyaan,28.036185150285643,29,Pertamina,A_SPBU,1313.5337537604557,1.3135337537604557
25,64,CIKAWAO,Kawaluyaan,26.04054398825226,29,Pertamina,A_SPBU,1489.3337100639112,1.4893337100639112
25,65,GUMURUH,Kawaluyaan,57.30556404707046,190,Trans Luxury Hotel,D_Hotel,1351.0144910907395,1.3510144910907396
25,66,BINONG,Kawaluyaan,56.23212515327078,190,Trans Luxury Hotel,D_Hotel,1557.6867201171106,1.5576867201171105
25,67,KEBON GEDANG,Kawaluyaan,28.807770526918066,67,Pertamina,A_SPBU,568.5653907326455,0.5685653907326454
25,68,CIJAGRA,Kawaluyaan,35.06667457355225,61,Pertamina,A_SPBU,1424.2047592109388,1.4242047592109388
25,69,MALABAR,Kawaluyaan,24.282206861245765,190,Trans Luxury Hotel,D_Hotel,2051.9864014626737,2.0519864014626736
25,70,PALEDANG,Kawaluyaan,17.643412050011495,29,Pertamina,A_SPBU,1579.3902427023843,1.5793902427023843
25,71,DERWATI,Soekarno Hatta,53.03343679444002,4,PT Pertamina Bandung,C_Kantor,3672.3007937878,3.6723007937878003
25,72,MEKARJAYA,Soekarno Hatta,54.364713025823505,132,Pertamina,A_SPBU,1220.208563773962,1.220208563773962
25,73,KEBON PISANG,Kawaluyaan,35.54243483751473,163,Rumah Sakit Sariningsih,E_RumahSakit,1788.4947569093126,1.7884947569093126
25,74,BRAGA,Kawaluyaan,17.943561498653104,163,Rumah Sakit Sariningsih,E_RumahSakit,2610.7367349708625,2.6107367349708626
25,75,MERDEKA,Kawaluyaan,36.488914620548705,163,Rumah Sakit Sariningsih,E_RumahSakit,1409.7433090111542,1.4097433090111542
25,76,SUKAMAJU,Kawaluyaan,32.70108201785884,205,PT Permodalan Nasional Madani,C_Kantor,1908.9680648537897,1.9089680648537897
25,77,CIHAPIT,Kawaluyaan,12.03356355127864,163,Rumah Sakit Sariningsih,E_RumahSakit,1706.447449896694,1.706447449896694
25,78,CITARUM,Kawaluyaan,6.511175163313209,163,Rumah Sakit Sariningsih,E_RumahSakit,778.2588971474262,0.7782588971474261
25,79,CIHAURGEULIS,Kawaluyaan,38.05435962961649,78,Pertamina,A_SPBU,2520.7228598821853,2.520722859882185
25,80,TAMAN SARI,Kawaluyaan,65.49358860113384,163,Rumah Sakit Sariningsih,E_RumahSakit,1126.2259647947683,1.1262259647947683
25,81,SUKALUYU,Kawaluyaan,47.713665575379856,78,Pertamina,A_SPBU,1235.5196238132391,1.235519623813239
25,82,SUKAPADA,Kawaluyaan,67.66540280342495,205,PT Permodalan Nasional Madani,C_Kantor,1719.1180988370656,1.7191180988370656
25,83,NEGLASARI,Kawaluyaan,28.450150295372058,78,Pertamina,A_SPBU,1639.9245390900815,1.6399245390900814
25,84,LEBAK SILIWANGI,Kawaluyaan,11.917377103823904,163,Rumah Sakit Sariningsih,E_RumahSakit,1932.8805587432,1.9328805587432
25,85,PASIRLAYUNG,Kawaluyaan,66.30345381046837,41,Pertamina,A_SPBU,2249.0715037230666,2.2490715037230666
25,86,LEBAK GEDE,Kawaluyaan,31.867272044645134,163,Rumah Sakit Sariningsih,E_RumahSakit,2168.368489669746,2.168368489669746
25,87,CIPAGANTI,Kawaluyaan,34.61523867309158,90,Rumah Sakit Jiwa Hurip Waluya,E_RumahSakit,1767.6596913447172,1.7676596913447171
25,88,SEKELOA,Kawaluyaan,78.45701810489629,78,Pertamina,A_SPBU,1568.7509169875843,1.5687509169875844
25,89,CIGADUNG,Kawaluyaan,96.68875357237697,78,Pertamina,A_SPBU,1899.0468882915834,1.8990468882915834
25,90,HEGARMANAH,Kawaluyaan,58.82765897858903,142,RSAU Dr Salamun,E_RumahSakit,1968.84625416722,1.96884625416722
25,91,DAGO,Kawaluyaan,103.00875736840695,113,Sheraton Bandung Hotel & Towers,D_Hotel,565.0297112343604,0.5650297112343604
25,92,CIUMBULEUIT,Kawaluyaan,71.54183065421189,142,RSAU Dr Salamun,E_RumahSakit,1499.942744736104,1.499942744736104
25,93,LEDENG,Kawaluyaan,31.57852067132817,238,Grand Mercure Bandung Setiabudi,D_Hotel,435.9840104014876,0.4359840104014876
25,94,SADANG SERANG,Kawaluyaan,78.32561845322422,78,Pertamina,A_SPBU,252.48548391048206,0.25248548391048203
25,95,PADASUKA,Kawaluyaan,51.244761478681596,205,PT Permodalan Nasional Madani,C_Kantor,276.12310629826067,0.27612310629826065
25,96,CIKUTRA,Kawaluyaan,66.78700292771556,205,PT Permodalan Nasional Madani,C_Kantor,1772.8954172739104,1.7728954172739104
25,97,CICADAS,Kawaluyaan,47.084522327927644,205,PT Permodalan Nasional Madani,C_Kantor,1527.5033711880633,1.5275033711880632
25,98,BABAKAN CIAMIS,Kawaluyaan,24.772342500423626,163,Rumah Sakit Sariningsih,E_RumahSakit,1011.4910896832818,1.0114910896832818
25,99,KEBON JERUK,Pajajaran,31.51267920689884,139,Living Plaza,B_Mall,1563.6986433715306,1.5636986433715305
25,100,CIROYOM,Pajajaran,55.90762435976255,139,Living Plaza,B_Mall,1988.2701389620474,1.9882701389620474
25,101,DUNGUS CARIANG,Pajajaran,52.20318622334223,180,RS Rajawali,E_RumahSakit,2352.2599064679575,2.3522599064679577
25,102,ARJUNA,Pajajaran,35.923068566697125,139,Living Plaza,B_Mall,884.7237893714153,0.8847237893714153
25,103,GARUDA,Pajajaran,28.925672634084354,180,RS Rajawali,E_RumahSakit,524.2882914289738,0.5242882914289738
25,104,MALEBER,Pajajaran,55.03419770334609,180,RS Rajawali,E_RumahSakit,556.5932837652344,0.5565932837652344
25,105,PASIRKALIKI,Pajajaran,25.359417816249408,139,Living Plaza,B_Mall,1543.4809788849877,1.5434809788849877
25,106,PAMOYANAN,Pajajaran,21.59322256313625,139,Living Plaza,B_Mall,806.580494911523,0.8065804949115231
25,107,SUKABUNGAH,Pajajaran,60.574114782254874,139,Living Plaza,B_Mall,1489.6590838961763,1.4896590838961763
25,108,PAJAJARAN,Pajajaran,73.987155347977,139,Living Plaza,B_Mall,1705.9996488288432,1.7059996488288431
25,109,CAMPAKA,Pajajaran,52.652377075213565,180,RS Rajawali,E_RumahSakit,1623.854903825151,1.623854903825151
25,110,HUSEN SASTRANEGARA,Pajajaran,46.783466660357746,180,RS Rajawali,E_RumahSakit,2137.4984737881405,2.1374984737881406
25,111,SUKARAJA,Pajajaran,68.6623432080821,55,Pertamina,A_SPBU,2808.337928878218,2.808337928878218
25,112,SUKAWARNA,Pajajaran,41.407563172357534,55,Pertamina,A_SPBU,1593.0909903634642,1.5930909903634642
25,113,PASTEUR,Pajajaran,52.47506102337104,90,Rumah Sakit Jiwa Hurip Waluya,E_RumahSakit,1158.6080213984571,1.158608021398457
25,114,CIPEDES,Pajajaran,85.50179143937751,90,Rumah Sakit Jiwa Hurip Waluya,E_RumahSakit,227.0599115296886,0.2270599115296886
25,115,SUKAGALIH,Pajajaran,53.219961937467474,55,Pertamina,A_SPBU,1338.1302471318204,1.3381302471318204
25,116,SUKARASA,Pajajaran,38.40246208021042,55,Pertamina,A_SPBU,1391.4336050825627,1.3914336050825626
25,117,SARIJADI,Pajajaran,77.36233407682943,55,Pertamina,A_SPBU,1117.5963298452564,1.1175963298452565
25,118,GEGERKALONG,Pajajaran,66.72112667765224,90,Rumah Sakit Jiwa Hurip Waluya,E_RumahSakit,2026.223802818985,2.026223802818985
25,119,ISOLA,Pajajaran,38.730185498400395,238,Grand Mercure Bandung Setiabudi,D_Hotel,834.4825931656433,0.8344825931656432
25,120,SINDANG JAYA,Soekarno Hatta,39.414932974073835,241,Gedung Sekretariat,C_Kantor,1268.2602826456346,1.2682602826456346
25,121,KARANG PAMULANG,Soekarno Hatta,50.43075860165575,41,Pertamina,A_SPBU,2313.2998545850032,2.3132998545850034
25,122,PASIR IMPUN,Soekarno Hatta,35.54382348554872,241,Gedung Sekretariat,C_Kantor,1606.0080361596724,1.6060080361596725
25,123,JATIHANDAP,Soekarno Hatta,72.06998214542561,41,Pertamina,A_SPBU,1696.576558650413,1.6965765586504131
25,124,SUKAMULYA,Soekarno Hatta,14.721923964007251,184,Kelurahan Pasanggrahan,C_Kantor,1006.7507404715309,1.0067507404715308
25,125,KEBON JAYANTI,Kawaluyaan,38.57898327283088,67,Pertamina,A_SPBU,778.0483664272762,0.7780483664272762
25,126,KEBON KANGKUNG,Kawaluyaan,38.10113584533574,190,Trans Luxury Hotel,D_Hotel,2036.385311763265,2.036385311763265
25,127,BABAKAN SURABAYA,Kawaluyaan,61.40339443312606,205,PT Permodalan Nasional Madani,C_Kantor,1314.6941986937745,1.3146941986937746
25,128,ANTAPANI KULON,Soekarno Hatta,29.11052332212875,138,Pertamina,A_SPBU,973.4357811467349,0.9734357811467349
25,129,CICAHEUM,Kawaluyaan,52.01340462295039,205,PT Permodalan Nasional Madani,C_Kantor,580.583114610308,0.580583114610308
25,130,BABAKAN SARI,Kawaluyaan,111.83356962762868,67,Pertamina,A_SPBU,765.0522513293784,0.7650522513293784
25,131,SUKAPURA,Kawaluyaan,81.815539664259,67,Pertamina,A_SPBU,2281.44220125076,2.28144220125076
25,132,ANTAPANI KIDUL,Soekarno Hatta,67.48848965068667,138,Pertamina,A_SPBU,1607.4561105863804,1.6074561105863805
25,133,ANTAPANI WETAN,Soekarno Hatta,52.20744895859392,41,Pertamina,A_SPBU,607.9912966569151,0.6079912966569151
25,134,SUKAMISKIN,Soekarno Hatta,58.719294102241115,138,Pertamina,A_SPBU,1873.9706379135737,1.8739706379135737
25,135,RANCANUMPANG,Soekarno Hatta,14.294108173097623,4,PT Pertamina Bandung,C_Kantor,4701.78147613034,4.70178147613034
25,136,CISARANTEN KULON,Soekarno Hatta,72.06928313076297,241,Gedung Sekretariat,C_Kantor,2391.167811907456,2.3911678119074558
25,137,CISARANTEN WETAN,Soekarno Hatta,17.385841508485896,241,Gedung Sekretariat,C_Kantor,2111.35554033909,2.11135554033909
25,138,CIMINCRANG,Soekarno Hatta,11.73547836409375,4,PT Pertamina Bandung,C_Kantor,3368.406706130791,3.368406706130791
25,139,CISARANTEN BINA HARAPAN,Soekarno Hatta,32.762990482376225,241,Gedung Sekretariat,C_Kantor,684.5400749021535,0.6845400749021535
25,140,BABAKAN PENGHULU,Soekarno Hatta,20.32344921164386,4,PT Pertamina Bandung,C_Kantor,681.4010251007899,0.6814010251007898
25,141,PAKEMITAN,Soekarno Hatta,17.513563582536246,184,Kelurahan Pasanggrahan,C_Kantor,1949.5466405296395,1.9495466405296396
25,142,CISARANTEN KIDUL,Soekarno Hatta,57.295679877004645,4,PT Pertamina Bandung,C_Kantor,2045.4966438932338,2.045496643893234
25,143,ANTAPANI TENGAH,Soekarno Hatta,63.23621814967041,138,Pertamina,A_SPBU,1630.5303587562034,1.6305303587562034
25,144,CISARANTEN ENDAH,Soekarno Hatta,55.145525279131995,138,Pertamina,A_SPBU,2641.37667327955,2.6413766732795496
25,145,MANJAHLEGA,Soekarno Hatta,57.22695692329798,74,Kantor Kecamatan Rancasari,C_Kantor,1605.240850357927,1.605240850357927
25,146,CIPAMOKOLAN,Soekarno Hatta,67.50338537093893,74,Kantor Kecamatan Rancasari,C_Kantor,537.5700291650257,0.5375700291650257
25,147,MARGASARI,Soekarno Hatta,111.27555660346894,132,Pertamina,A_SPBU,556.179498222496,0.556179498222496
25,148,RANCABOLANG,Soekarno Hatta,33.0211008177217,74,Kantor Kecamatan Rancasari,C_Kantor,4151.02146791267,4.1510214679126705
25,149,BABAKAN TAROGONG,Pajajaran,81.77158426954557,251,Mall Festival Citylink,B_Mall,1364.65330873691,1.3646533087369102
25,150,CIGENDING,Soekarno Hatta,44.840858878695414,184,Kelurahan Pasanggrahan,C_Kantor,1845.5140352275585,1.8455140352275585
