p,demand_id,nama_kelurahan,wilayah_samsat,bobot_ev,candidate_id,nama_kandidat,klaster_kandidat,jarak_jaringan_m,jarak_jaringan_km
5,0,MEKAR MULYA,Soekarno Hatta,20.6839711834474,172,Pertamina,A_SPBU,1273.0460607536388,1.273046060753639
5,1,CIPADUNG WETAN,Soekarno Hatta,9.36797305119531,172,Pertamina,A_SPBU,2547.251652033633,2.547251652033633
5,2,CIPADUNG KIDUL,Soekarno Hatta,41.468038517304834,172,Pertamina,A_SPBU,4416.089489006214,4.416089489006214
5,3,PASIR ENDAH,Soekarno Hatta,46.20778718211239,172,Pertamina,A_SPBU,3175.686714322721,3.1756867143227208
5,4,PASIR WANGI,Soekarno Hatta,48.29388298844651,172,Pertamina,A_SPBU,3905.5754985575113,3.9055754985575115
5,5,PASIRJATI,Soekarno Hatta,48.50045237758229,172,Pertamina,A_SPBU,3825.654182806242,3.825654182806242
5,6,PALASARI,Soekarno Hatta,59.88721299531342,172,Pertamina,A_SPBU,4124.023301586164,4.124023301586164
5,7,CISURUPAN,Soekarno Hatta,39.46537473185595,172,Pertamina,A_SPBU,4397.687402583795,4.397687402583795
5,8,CIPADUNG KULON,Soekarno Hatta,37.70801645703055,172,Pertamina,A_SPBU,1240.923792350055,1.240923792350055
5,9,PASIR BIRU,Soekarno Hatta,44.22051592480949,172,Pertamina,A_SPBU,3961.9716689414636,3.9619716689414637
5,10,CIPADUNG,Soekarno Hatta,61.6024330069424,172,Pertamina,A_SPBU,3386.5278307565045,3.3865278307565045
5,11,PASANGGRAHAN,Soekarno Hatta,56.02620876449181,172,Pertamina,A_SPBU,3327.9884834688887,3.327988483468889
5,12,BABAKAN,Pajajaran,89.33428811220983,223,RSUD Bandung Kiwari,E_RumahSakit,3315.7988139923323,3.3157988139923322
5,13,BABAKAN ASIH,Pajajaran,45.68154111280778,223,RSUD Bandung Kiwari,E_RumahSakit,2999.540889757427,2.999540889757427
5,14,BABAKAN CIPARAY,Pajajaran,97.2083390408333,223,RSUD Bandung Kiwari,E_RumahSakit,1888.86105360534,1.88886105360534
5,15,CARINGIN,Pajajaran,26.49659092898333,223,RSUD Bandung Kiwari,E_RumahSakit,3872.927022973115,3.872927022973115
5,16,CIBADAK,Pajajaran,36.87058112074416,223,RSUD Bandung Kiwari,E_RumahSakit,2996.4204141251284,2.9964204141251285
5,17,CIBADUYUT,Pajajaran,38.805928758489095,223,RSUD Bandung Kiwari,E_RumahSakit,2318.495341716881,2.318495341716881
5,18,CIBADUYUT KIDUL,Pajajaran,27.125149197516752,223,RSUD Bandung Kiwari,E_RumahSakit,2593.7419048648912,2.593741904864891
5,19,CIBADUYUT WETAN,Pajajaran,25.300462669389656,223,RSUD Bandung Kiwari,E_RumahSakit,2995.5269534267295,2.9955269534267295
5,20,CIBUNTU,Pajajaran,52.461290439423934,263,PT Biofarma,C_Kantor,6040.839630392235,6.040839630392235
5,21,CIGONDEWAH KALER,Pajajaran,60.25489943533409,223,RSUD Bandung Kiwari,E_RumahSakit,4539.635981745319,4.539635981745319
5,22,CIGONDEWAH KIDUL,Pajajaran,27.921500044974085,223,RSUD Bandung Kiwari,E_RumahSakit,4700.650393517985,4.700650393517986
5,23,CIGONDEWAH RAHAYU,Pajajaran,30.92528684548113,223,RSUD Bandung Kiwari,E_RumahSakit,3726.1802664094134,3.7261802664094135
5,24,CIJERAH,Pajajaran,69.05070384091948,263,PT Biofarma,C_Kantor,6137.424774918569,6.137424774918569
5,25,CIRANGRANG,Pajajaran,34.02127366757954,223,RSUD Bandung Kiwari,E_RumahSakit,2181.6658513952993,2.1816658513952993
5,26,GEMPOL SARI,Pajajaran,62.05773140134205,223,RSUD Bandung Kiwari,E_RumahSakit,6381.987735445899,6.3819877354458985
5,27,JAMIKA,Pajajaran,77.02956531453367,223,RSUD Bandung Kiwari,E_RumahSakit,3419.452147512211,3.419452147512211
5,28,KARANG ANYAR,Pajajaran,17.97331486275896,223,RSUD Bandung Kiwari,E_RumahSakit,3125.5139767860123,3.1255139767860123
5,29,KARASAK,Pajajaran,37.31068814628092,223,RSUD Bandung Kiwari,E_RumahSakit,2827.3731124454466,2.8273731124454464
5,30,KEBON LEGA,Pajajaran,67.79755119851752,223,RSUD Bandung Kiwari,E_RumahSakit,1412.416615615909,1.412416615615909
5,31,KOPO,Pajajaran,89.37093829506725,223,RSUD Bandung Kiwari,E_RumahSakit,624.8006382486966,0.6248006382486966
