p,status,objective_ev_m,rata_rata_jarak_berbobot_km,jarak_maksimum_km,waktu_solver_detik,penurunan_objective_persen
5,Optimal,22341802.522655554,3.130857976829534,6.592136373098805,4.3156068325042725,
10,Optimal,16555975.41855326,2.3200638198645263,7.431024157518548,3.286334276199341,25.896867982049415
15,Optimal,14096142.766947161,1.9753563294488736,6.271922250718897,2.1016077995300293,14.857672770216338
20,Optimal,12463984.256358156,1.7466345650726116,6.3819877354458985,1.9010486602783203,11.578759789636313
25,Optimal,11212640.222968271,1.5712780581513832,6.3819877354458985,1.9588754177093506,10.03967918806979
