candidate_id,nama,klaster,nearest_node,dist_to_node_m,lon,lat,nearest_node_sumber,dist_to_node_m_sumber,p,total_ev_dilayani
4,PT Pertamina Bandung,C_Kantor,9340090484,13.719956062566782,107.6944991,-6.9367126230000045,9340090484,13.719956062566782,15,341.3103875780027
19,Kantor Kelurahan Cibuntu,C_Kantor,5495699609,19.83520416803774,107.57310905527882,-6.918003183084254,5495699609,19.83520416803774,15,505.183866641943
28,Kantor Kelurahan Karasak,C_Kantor,5353902675,22.2869067216235,107.60763373347936,-6.950679516886582,5353902675,22.2869067216235,15,555.6309103337887
41,Pertamina,A_SPBU,5865112018,26.97251702262663,107.6650947,-6.904171499999996,5865112018,26.97251702262663,15,589.6704504796252
43,Pos Bandung Ciwastra,C_Kantor,5458662121,27.42248917066558,107.657319,-6.957874000000007,5458662121,27.42248917066558,15,494.530940268045
67,Pertamina,A_SPBU,5395278919,31.46907469128951,107.6440384,-6.922388900000001,5395278919,31.46907469128951,15,534.0106100279827
75,Pertamina,A_SPBU,2477162528,34.18399501152002,107.6419203,-6.8992840999999965,2477162528,34.18399501152002,15,450.2590903935193
100,Dinas Perumahan dan Kawasan Permukiman Kota Bandung,C_Kantor,8763398208,38.01199507802137,107.58293586428564,-6.945781149450977,8763398208,38.01199507802137,15,353.5097950450502
128,Kantor Kecamatan Lengkong,C_Kantor,2607816746,46.33382698438489,107.622761834704,-6.92834112005956,2607816746,46.33382698438489,15,520.91651195031
139,Living Plaza,B_Mall,11138593909,49.89545357320765,107.5978357,-6.906023654999999,11138593909,49.89545357320765,15,518.1303898024082
142,RSAU Dr Salamun,E_RumahSakit,319706490,50.889451738910495,107.6048127,-6.8643150999999945,319706490,50.889451738910495,15,130.36948963280093
184,Kelurahan Pasanggrahan,C_Kantor,4848670777,66.1093646702573,107.70628684453128,-6.91708804649409,4848670777,66.1093646702573,15,561.1191943873953
250,Rumah Sakit Ginjal Nyonya Ra Habibie,E_RumahSakit,7211697102,108.86838451953376,107.6203433,-6.885340299999997,7211697102,108.86838451953376,15,400.2647966473735
251,Mall Festival Citylink,B_Mall,9596361930,113.35822949961121,107.5864033,-6.929639933999996,9596361930,113.3582294996112,15,679.5072780500501
254,Setrasari Mall,B_Mall,29356954,116.59991076615273,107.5829931,-6.880703899999995,29356954,116.59991076615272,15,501.5862887617053
