p,status,objective_ev_m,rata_rata_jarak_berbobot_km,jarak_maksimum_km,waktu_solver_detik,penurunan_objective_persen
5,Optimal,22341802.522655554,3.130857976829534,6.592136373098805,4.863720655441284,
10,Optimal,16555975.41855326,2.3200638198645263,7.431024157518548,2.9179306030273438,25.896867982049415
15,Optimal,14096142.766947161,1.9753563294488736,6.271922250718897,1.7876718044281006,14.857672770216338
20,Optimal,12463984.256358156,1.7466345650726116,6.3819877354458985,1.8091492652893066,11.578759789636313
